馬仔,be2-a2
羊仔,iunn5-a2
豬仔,ti1-a2
牛,gu5
濟,tse7,tsue7
今仔日,kin1-a2-jit8
其他,ki5-thann1
同學,tong5-oh8
行路,kiann5-loo7
車,tshia1
花,hue1,hua1
任何,jim7-ho5
花草,hue1-tshau2
位,ui7
小姐,sio2-tsia2
座,tso7
山,suann1,san1
懸,kuan5
差不多,tsha1-put4-to1
公分,kong1-hun1
大姊,tua7-tse2
減,kiam2
以早,i2-tsa2
一屑仔,tsit8-sut4-a2
阿姊,a1-tse2
頭殼,thau5-khak4
精光,tsing1-kong1
貧惰,pin5-tuann7
阿安,a1-an1
阿發,a1-huat4
蓋,kai3,kua3
儉,khiam7
阿秀仔,a1-siu3--a2
阿嬌姨,a1-kiau1-i5
真,tsin1
阿成,a1-sing5
兩光,liong2-kong1
濟囉,tse7--looh4
齣,tshut4
戲,hi3
頭先的,thau5-sing1--e5
悲傷,pi1-siong1
離緣,li7-ian5
了後,liau2-au7
進前,tsin3-tsing5
樂暢,lok8-thiong3
彼站,hit4-tsam7
這陣,tsit4-tsun7
日子,jit8-tsi2,lit8-tsi2
幸福咧,hing7-hok4--leh4
阿好,a1-ho2
阿財,a1-tsai5
公斤,kong1-kin1
重,tang7
寒,kuann5
變,pian3,pinn3
熱,luah8,liat8,juah8
久,ku2
查埔,tsa1-poo1,ta1-poo1
四,si3,su3
買的,be2--e5
一半,tsit8-puann3
趁的,than3--e5
公司,kong1-si1
了的,liau2--e5
媽,ma6,ma2,ma1
爸,pa6,pa5
阿水伯仔,a1-tsui2-peh4--a2
三十,sann1-tsap8
包,pau1
糖仔,thng5-a2
股票,koo2-phio3
頂,ting2
禮拜,le2-pai3
落,loh8,lak4,lau3
六百,lak8-pah4
六十,lak8-tsap8
點,tiam2
收盤,siu1-puann5
收,siu1
九千,kau2-tshing1
討,tho2
三十三,sann1-tsap8-sann1
全聯,tsuan5-lian5
標仔,phiau1-a2
希望,hi1-bang7
會赴,e7-hu3
換,uann7
雙人牌,siang1-lang5-pai5
刀仔,to1-a2
相輸,sio1-su1
千三,tshing1-sann1
遮的,tsia1--e5,tsia1-e5
攏總,long2-tsong2
百九,pah4-kau2
分開,hun1-khui1
算,sng3
雙人,siang1-lang5
套餐,tho3-tshan1
八百,peh4-pah4
七,tshit4
好額人,ho2-giah8-lang5
食會起啦,tsiah8-e7-khi2--lah4
六,lak8,liok8
四十九,si3-tsap8-kau2
出山,tshut4-suann1
麻煩,ma5-huan5
麵粉,mi7-hun2
斤半,kin1-puann3
三層,sam1-tsan5
斤,kin1
肉,bah4
起,khi2
四百,si3-pah4
悾的,khong1--e5
過年,kue3-ni5
把,pe2
青菜,tshenn1-tshai3
一百喔,tsit8-pah4--ooh4
五十,goo7-tsap8
猶閣,iau2-koh4
斗半,tau2-puann3
米,bi2
百萬,pah4-ban7
街頭,ke1-thau5
抗議,khong3-gi7
全國,tsuan5-kok4
十億捅,tsap8-ik4-thong2
欉,tsang5
樹仔,tshiu7-a2
剉了了,tsho3-liau2-liau2
發覺,huat4-kak4
原本,guan5-pun2
幾億,kui2-ik4
幾兆,kui2-tiau7
尾,bue2
了了,liau2-liau2
間,king1
豬牢,ti1-tiau5
六百外,lak8-pah4-gua7
明明,bing5-bing5
差,tsha1
十幾外,tsap8-kui2-gua7
