siat4-ke3 1.0	siat4 ke3
tsı̍t-kua2 1.0	tsı̍t kua2
sik4-tsui2 1.0	sik4 tsui2
kiau1 1.0	kiau1
hu3-kin7 1.0	hu3 kin7
kan1 1.0	kan1
costco1 1.0	costco1
siok4 1.0	siok4
tua7-uann2 1.0	tua7 uann2
lai7-tue2 1.0	lai7 tue2
khuah4 1.0	khuah4
seh8--e5 1.0	seh8 e5
po3-loo7--lah4 1.0	po3 loo7 lah4
puann5-tshia1 1.0	puann5 tshia1
sai2 1.0	sai2
te7-ji7 1.0	te7 ji7
loo7-khau2 1.0	loo7 khau2
si5-tsun7--honnh4 1.0	si5 tsun7 honnh4
to3-tshiu2-ping5 1.0	to3 tshiu2 ping5
jian5-au7 1.0	jian5 au7
he1 1.0	he1
uat4 1.0	uat4
thang3-khi3 1.0	thang3 khi3
ko1-sok4-kong1-loo7 1.0	ko1 sok4 kong1 loo7
ikea1 1.0	ikea1
to7 1.0	to7
tshoo1-siok8 1.0	tshoo1 siok8
bo5-lua7-ku2 1.0	bo5 lua7 ku2
pháinn1--khi3--ah4 1.0	pháinn1 khi3 ah4
gua7-ku2 1.0	gua7 ku2
buah4 1.0	buah4
sk-two1 1.0	sk two1
kuan2 1.0	kuan2
kut4-lat8 1.0	kut4 lat8
u7-hau7--bo5 1.0	u7 hau7 bo5
si7-se2-too3 1.0	si7 se2 too3
kam2-sia7 1.0	kam2 sia7
lang5-kheh4 1.0	lang5 kheh4
mua2-i3-too7 1.0	mua2 i3 too7
tiau1-tsa1 1.0	tiau1 tsa1
seh8-kue3 1.0	seh8 kue3
b-and1-q 1.0	b and1 q
siu1 1.0	siu1
liau2-liau2--ah4 1.0	liau2 liau2 ah4
tian7-noo2 1.0	tian7 noo2
kuai3-kuai3 1.0	kuai3 kuai3
khi2--li3 1.0	khi2 li3
internet1 1.0	internet1
tsa̋ng1-me5 1.0	tsa̋ng1 me5
wi1-fi1 1.0	wi1 fi1
kuainn1--honnh4 1.0	kuainn1 honnh4
pang5-king1 1.0	pang5 king1
tshiu2 1.0	tshiu2
kheh4 1.0	kheh4
kheh4-thiann1 1.0	kheh4 thiann1
tshit4 1.0	tshit4
su1 1.0	su1
sann1 1.0	sann1
net1 1.0	net1
be2--e5 1.0	be2 e5
giordano1 1.0	giordano1
phah4-tsiat4 1.0	phah4 tsiat4
ke2 1.0	ke2
kin1-pun2 1.0	kin1 pun2
uniqlo1 1.0	uniqlo1
tiam3 1.0	tiam3
tsah4 1.0	tsah4
pian7-tong1-khok4-a2 1.0	pian7 tong1 khok4 a2
kfc 1.0	kfc
te2 1.0	te2
ma2-ling5-tsi5-tsinn3 1.0	ma2 ling5 tsi5 tsinn3
mcdonald's1 1.0	mcdonald's1
han3-po2 1.0	han3 po2
tioh8 1.0	tioh8
liap8 1.0	liap8
pa2 1.0	pa2
mőo1 1.0	mőo1
me7--e5 1.0	me7 e5
fuck1 1.0	fuck1
you1 1.0	you1
pháinn1-thiann1--e5 1.0	pháinn1 thiann1 e5
cpu 1.0	cpu
intel1--e5 1.0	intel1 e5
amd--e5 1.0	amd e5
youtuber4 1.0	youtuber4
tian2 1.0	tian2
niau1-a2 1.0	niau1 a2
ji5-tshiann2 1.0	ji5 tshiann2
koo2-tsui1--e5 1.0	koo2 tsui1 e5
youtube4 1.0	youtube4
kah4-i3 1.0	kah4 i3
im1-gak8 1.0	im1 gak8
iann2-phinn3 1.0	iann2 phinn3
khuann3-kue3 1.0	khuann3 kue3
subway1 1.0	subway1
tshai3 1.0	tshai3
u7-thang1 1.0	u7 thang1
ka1-ki7 1.0	ka1 ki7
king2 1.0	king2
be7-bai2 1.0	be7 bai2
b-one1 1.0	b one1
kau3--ah4 1.0	kau3 ah4
thing5 1.0	thing5
b-two1 1.0	b two1
b-sann1 1.0	b sann1
b-si3 1.0	b si3
pang1 1.0	pang1
jih8--tsit8-e7 1.0	jih8 tsit8 e7
tai5-tiong1 1.0	tai5 tiong1
tian7-thui1 1.0	tian7 thui1
b-goo7 1.0	b goo7
oo7 1.0	oo7
tui3-bin7 1.0	tui3 bin7
ji7-b 1.0	ji7 b
ian5-pit4 1.0	ian5 pit4
tsioh4--gua2 1.0	tsioh4 gua2
bin5-a2-tsai3 1.0	bin5 a2 tsai3
kho2-tshi3 1.0	kho2 tshi3
cheese1 1.0	cheese1
khau2-bi7 1.0	khau2 bi7
pizza1 1.0	pizza1
am3-tng3 1.0	am3 tng3
ho2--bo5 1.0	ho2 bo5
tau1 1.0	tau1
bang7-loo7 1.0	bang7 loo7
khan1 1.0	khan1
mega1--e5 1.0	mega1 e5
sann1-tsap8-ji7 1.0	sann1 tsap8 ji7
giga1 1.0	giga1
sui5-sin1-tiap8 1.0	sui5 sin1 tiap8
phang2--khi3--ah4 1.0	phang2 khi3 ah4
phang3-kinn3--ah4 1.0	phang3 kinn3 ah4
pueh4 1.0	pueh4
t 1.0	t
ngē1-tiap8 1.0	ngē1 tiap8
kai3 1.0	kai3
lueh4 1.0	lueh4
tshut4 1.0	tshut4
tian7-iann2 1.0	tian7 iann2
tshai3-poo2 1.0	tshai3 poo2
gau5 1.0	gau5
puann1 1.0	puann1
khuann3-liau2 1.0	khuann3 liau2
fu1 1.0	fu1
sa̋i1-ioo2-na2-lah4 1.0	sa̋i1 ioo2 na2 lah4
goodbye1 1.0	goodbye1
se3-han3 1.0	se3 han3
tsu3 1.0	tsu3
b-hing5 1.0	b hing5
kuann1-iam7 1.0	kuann1 iam7
ik8-biau5 1.0	ik8 biau5
khong3-the2--bo5 1.0	khong3 the2 bo5
a-hing5 1.0	a hing5
tak8-jit8 1.0	tak8 jit8
pau1-ui5 1.0	pau1 ui5
